,value,genre_cate
155,rap rock,rock
156,nu-metal,rock
157,metal,rock
158,interlude,
159,british rock,rock
160,baroque pop,pop
161,hard rock,rock
162,opera,
163,orchestral,
164,progressive rock,rock
165,eighties,
166,halloween,
167,deutschland,
168,synth rock,rock
169,post-hardcore,rock
170,electronic rock,rock
171,punk rock,rock
172,christian rock,rock
173,gospel,
174,protest songs,
175,doo-wop,hip-hop/r&;b
176,freestyle,rap
177,uk rap,rap
178,jazz,
179,groove metal,rock
180,metalcore,rap
181,ireland,
182,world music,
183,easy listening,pop
184,hard bass,
185,bassline,
186,new jack swing,
187,blue-eyed soul,
188,contemporary folk,
189,experimental folk,
190,experimental pop,pop
191,americana,
192,live,
193,funk rock,rock
194,trap metal,rap
195,metalrap,rap
196,horrorcore,rap
197,broadway,
198,american underground,
199,fashion,
200,african languages,
201,south africa,
202,bay area,
203,brasil,
204,em portugu\xc3\xaas,
205,deep house,
206,jamaica,
207,new zealand,
208,electro-hop,hip-hop/r&;b
209,politics,
210,news,
211,folk rock,rock
212,memorial,
213,blues,
214,brit pop,pop
215,new orleans r&;b,hip-hop/r&;b
216,funk nacional,
217,football (american),
218,celtic,
219,bossa nova,
220,g-funk,hip-hop/r&;b
221,race / ethnicity,
222,religion,
223,grime,rap
224,dirty south,hip-hop/r&;b
225,indie rap,rap
226,blues rock,rock
227,a cappella,
228,electro-soul,
229,p-funk,
230,glitch,
231,ragga,
232,eurodance,
233,bluegrass,
234,sports,
235,psychedelic rock,rock
236,dab,
237,swing,
238,space rock,rock
239,avant garde,
240,drum &; bass,
241,experimental rock,rock
242,tech,
243,post-bop,
244,drill,rap
245,the voice,
246,hyphy,rap
247,post-grunge,rock
248,jazz-funk,
249,literature,
250,synthwave,
251,civil rights,
252,deutscher rap,rap
253,progressive metal,rock
254,non-music,
255,norge,
256,shadyxv,
257,downtempo,
258,parody,
259,latin rock,rock
260,ska,
261,japanese,
262,j-pop,pop
263,romanticism literature,
264,industrial rock,rock
265,chill,
266,dark ambient,
267,glitch hop,hip-hop/r&;b
268,spanish music,
269,new age,
270,polska,
271,trance,
272,salsa,
273,rapcore,rap
274,drumstep,
275,posse cut,
276,american idol,
277,english translation,
278,translation,
279,philosophy,
280,chicago drill,rap
281,roots,
282,french r&;b,hip-hop/r&;b
283,post-punk,rock
284,sertanejo,
285,techno,
286,hi-nrg,
287,grunge,rock
288,italy,
289,thrash metal,rock
290,heavy metal,rock
291,portugal,
292,melodic metalcore,rap
293,mashup,
294,classical music,
295,merengue,
296,crunk,hip-hop/r&;b
297,gothic rock,rock
298,football (soccer),
299,big band,
300,ska punk,rock
301,chamber music,
302,soul jazz,
303,google,
304,speed metal,rock
305,power metal,rock
306,military,
307,jazz rap,rap
308,garage punk,rock
309,garage rock,rock
310,industrial metal,rock
311,sing along,
312,post-punk revival,rock
313,underground hip-hop,hip-hop/r&;b
314,french rap,rap
315,fairy tale / nursery rhyme,
316,lullaby,
317,stoner rock,rock
318,dipset,
319,soca,
320,calypso,
321,qu\xc3\xa9bec,
322,skate punk,rock
323,gothic metal,rock
324,\xd0\xa0\xd0\xbe\xd1\x81\xd1\x81\xd0\xb8\xd1\x8f (russia),
325,go-go,
326,heartland rock,rock
327,christian metal,rock
328,chart history,
329,bolivia,
330,haiti,
331,spoken word,
332,anime,
333,symphonic metal,rock
334,hockey,
